PLAYER,PROJ_MIN,PROJ_PTS,PROJ_REB,PROJ_AST,PROJ_3PM,PROJ_PRA,PROJ_STL,PROJ_BLK,L3_PTS,L5_PTS,L10_PTS,PTS_CONSISTENCY,games_played
De'Aaron Fox,33.9,17.2,3.4,5.8,2.9,23.6,0.7,0.5,19.0,19.2,17.5,0.4,8
Alperen Sengun,33.5,17.1,7.5,5.8,0.4,27.1,0.7,0.5,17.3,19.6,19.2,0.21,8
Scottie Barnes,35.2,17.0,8.7,6.3,0.3,28.4,0.7,0.5,16.0,19.2,21.3,0.31,9
DeMar DeRozan,31.3,16.9,1.8,3.9,0.1,20.1,0.6,0.5,15.0,16.4,20.0,0.35,9
CJ McCollum,26.8,16.8,3.6,3.9,2.4,21.6,0.5,0.4,19.7,17.4,18.0,0.28,8
Michael Porter Jr.,31.9,16.8,5.3,2.9,2.3,22.3,0.6,0.5,17.0,20.0,21.1,0.38,7
Evan Mobley,34.5,16.4,9.6,3.5,0.4,26.2,0.7,0.5,18.7,17.4,17.0,0.32,7
Karl-Anthony Towns,26.8,16.3,11.3,2.6,1.8,26.9,0.5,0.4,15.3,17.2,17.0,0.29,7
Russell Westbrook,30.4,16.2,3.3,4.3,2.3,21.2,0.6,0.5,15.7,18.4,19.3,0.27,9
Jaylon Tyson,33.2,16.2,6.1,3.7,2.4,23.2,0.7,0.5,16.0,20.6,18.0,0.53,7
Norman Powell,29.4,16.2,4.1,2.7,1.1,20.4,0.6,0.4,15.7,18.0,20.2,0.24,8
Zion Williamson,29.0,16.2,7.4,2.6,0.0,23.4,0.6,0.4,17.3,19.8,19.8,0.4,8
Onyeka Okongwu,32.6,16.0,8.0,2.7,2.5,23.8,0.7,0.5,18.3,16.0,16.4,0.49,8
Tre Johnson,32.1,16.0,1.5,3.8,3.1,19.0,0.6,0.5,20.0,16.4,15.9,0.45,7
Zach LaVine,29.2,15.7,0.9,2.8,2.5,17.2,0.6,0.4,15.7,16.2,17.9,0.23,8
Ace Bailey,30.7,15.6,4.2,1.8,1.4,19.2,0.6,0.5,19.0,16.6,14.0,0.49,8
